60	
1948	1948
1949	1949
1950	1950
1951	1951
1952	1952
1953	1953
1954	1954
1955	1955
1956	1956
1957	1957
1958	1958
1959	1959
1960	1960
1961	1961
1962	1962
1963	1963
1964	1964
1965	1965
1966	1966
1967	1967
1968	1948
1969	1949
1970	1950
1971	1951
1972	1952
1973	1953
1974	1954
1975	1955
1976	1956
1977	1957
1978	1958
1979	1959
1980	1960
1981	1961
1982	1962
1983	1963
1984	1964
1985	1965
1986	1966
1987	1967
1988	1948
1989	1949
1990	1950
1991	1951
1992	1952
1993	1953
1994	1954
1995	1955
1996	1956
1997	1957
1998	1958
1999	1959
2000	1960
2001	1961
2002	1962
2003	1963
2004	1964
2005	1965
2006	1966
2007	1967
